Front,Back
"What is the memory hook for RAID 5?","Five is Alive 🔺 | Triangle = 3 sides = 3 min drives | P rotates across disks"
"What is RAID 5's star rating for reliability?","⭐⭐⭐⭐☆ — Can survive 1 drive failure"
"What is RAID 5's star rating for capacity?","⭐⭐⭐⭐☆ — Total minus 1 drive"
"What is RAID 5's star rating for performance?","⭐⭐⭐⭐☆ — Excellent read performance"
"What are the benefits of RAID 5?","Good balance speed/safety | Better capacity than RAID 1 | Excellent read performance | Industry standard"
"What are the limitations of RAID 5?","Slower writes (parity calculation) | Rebuild takes long | Only 1 drive can fail"
"What happens in RAID 5 if 2 disks fail?","The entire array fails ❌ — RAID 5 only tolerates 1 disk failure"
"What is the keyword for RAID 6?","STRIPING WITH DOUBLE PARITY — two parity blocks (P and Q) per row"
"What is the minimum number of drives for RAID 6?","4 drives"
"What is the fault tolerance of RAID 6?","✅✅ 2 drives can fail simultaneously — still operational"
"What is the usable space in RAID 6?","Total minus 2 drives for double parity (e.g., 4×1TB = 2TB usable)"
"How does RAID 6 differ from RAID 5?","RAID 6 has DOUBLE parity (P+Q) vs RAID 5 single parity (P). Survives 2 failures vs 1"
"What is RAID 6 best used for?","Enterprise storage, large arrays, critical archives"
"What is the memory hook for RAID 6?","Double shield 🛡️🛡️ | RAID 5 + 1 extra parity | 6=5+1 | Min 4 drives"
"What is RAID 6's star rating for reliability?","⭐⭐⭐⭐⭐ — Can survive 2 drive failures"
"What is RAID 6's star rating for capacity?","⭐⭐⭐☆☆ — Total minus 2 drives"
"What is RAID 6's star rating for performance?","⭐⭐⭐⭐☆ — Good read performance"
"What are the benefits of RAID 6?","2 simultaneous failures OK | Best for large arrays | Safer than RAID 5"
"What are the limitations of RAID 6?","Even slower writes | Very long rebuild | Needs 4+ drives | More expensive controller"
"What is RAID 10 also called?","RAID 1+0 or Stripe of Mirrors — a RAID of RAIDs"
"What is the minimum number of drives for RAID 10?","4 drives (always an even number)"
"How does RAID 10 work?","Creates mirrored pairs (RAID 1), then stripes data across the pairs (RAID 0). Mirror first → stripe second"
"What is the fault tolerance of RAID 10?","✅ 1 drive per mirror pair can fail — system survives"
"What is the usable space in RAID 10?","50% — mirrors consume half the total capacity"
"What is RAID 10 best used for?","Databases, high-performance + high-reliability enterprise servers"
"What is the memory hook for RAID 10?","Perfect TEN 🔟 | RAID 1 + RAID 0 | 🪞⚡ Mirror first, stripe second"
"What is RAID 10's star rating for reliability?","⭐⭐⭐⭐⭐ — 1 drive per pair can fail"
"What is RAID 10's star rating for capacity?","⭐⭐☆☆☆ — Only 50% usable"
"What is RAID 10's star rating for performance?","⭐⭐⭐⭐⭐ — Excellent read and write"
"What are the benefits of RAID 10?","Excellent performance | High redundancy | Fast rebuild | Best overall RAID"
"What are the limitations of RAID 10?","50% capacity lost | Most expensive option | Needs 4+ even drives"
"What is 'Failure Resistant' in RAID?","Protects against loss of data if a single disk fails. Examples: RAID 1, RAID 5"
"What is 'Fault Tolerant' in RAID?","Array continues to function even if a component fails. Examples: RAID 1, RAID 5, RAID 6"
"What is 'Disaster Tolerant' in RAID?","Has two independent zones with full data access. Can lose entire zone and still run. Example: RAID 10"
"Which RAID is categorized as disaster tolerant?","RAID 10 — can lose an entire mirror pair and still function"
"Which RAID gives the most speed with no redundancy?","RAID 0 — pure striping, fastest read/write, zero fault tolerance"
"Which RAID gives full redundancy with only 2 drives?","RAID 1 — mirroring, simplest protection, 50% usable space"
"Which RAIDs use parity to recover data?","RAID 5 (single parity) and RAID 6 (double parity)"
"Does RAID replace backups?","NO ❌ — RAID provides redundancy/uptime. Backups protect against deletion, ransomware, disasters"
"Hardware RAID vs Software RAID?","Hardware: dedicated controller card, faster, supports hot-swap. Software: OS-based, cheaper, slower"
"What is hot-swapping in RAID?","Replacing a failed disk WITHOUT shutting down the OS — common in hardware RAID"
"What does the OS see in any RAID array?","One single logical drive — the array appears as one volume regardless of physical disk count"
"What must be true about disks in a RAID array?","Identical capacity, type, and performance. Smallest disk determines max usable space"
"Before configuring RAID, what should you do to the disks?","Format the disks / Ensure disks are unformatted or clean"
"Exam question: 2 drives, protect HR data, Windows software RAID. Which RAID?","RAID 1 (mirrored volumes) — only option with 2 drives that provides redundancy"
"Why NOT use RAID 5 with only 2 drives?","RAID 5 requires minimum 3 drives"
"Why NOT use striped volumes for critical data?","Striped volumes = RAID 0 = no protection, one disk fails = all data lost"
"Why NOT use spanned volumes for redundancy?","Spanned volumes have no redundancy — just combine capacity"
"Exam Attack Step 1: What keyword indicates RAID 0?","'Maximum speed' or 'fastest performance' with no mention of protection"
"Exam Attack Step 2: What keyword indicates RAID 1?","'Mirror' or 'protect critical data with only 2 drives'"
"Exam Attack Step 3: What keyword indicates RAID 5?","'Parity' or 'minimum 3 drives with redundancy'"
"Exam Attack Step 4: What keyword indicates RAID 10?","'Speed AND redundancy' or 'best overall performance and safety'"
"Which RAID loses exactly 1/3 of space to parity with 3 drives?","RAID 5 — 3 drives → 1 drive equivalent used for parity = 33% overhead"
"If asked for redundancy using PARITY specifically, which RAID?","RAID 5 — keyword 'parity' = RAID 5 (not RAID 1 which uses mirroring)"
"What is the visual pattern for RAID 5?","🟢 Green data blocks + 🟡 One yellow parity per row, parity rotates"
"What is the visual pattern for RAID 6?","🟢 Green data + 🟡 Yellow P + 🟠 Orange Q = Two protection blocks per row"
"What is the visual pattern for RAID 10?","🔵 Blue mirror pair + 🟣 Purple mirror pair, no parity blocks, data duplicated"
